OSM Tags have to be in BRITISH English!  --> KANN DAS JEMAND BITTE KORRIGIEREN; ICH KENNE DIE FEINHEITEN NICHT,,,,,,,,,,,
An OSM Tag consists of Key and Value (written key=value),,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Descriptions for Columns,TransforTax Primary key is the Transformap INTERNAL Name for this item/set,"OpenStreetMap ""Key""<https://wiki.openstreetmap.org/wiki/Key>","OpenStreetMap ""Value""<https://wiki.openstreetmap.org/wiki/Value>",Click Link for a Map of currently tagged Objects,English short Description used for e.g. labeling checkboxes of this item in Editors,"Deutsche Kurzbeschreibung, die z.B. für Checkboxen dieses Eintrags in einem Editor verwendet wird","English long description, e.g. available when clicking on ""further information""","Deutsche Langbeschreibung, z.B. bei Klick auf ""Weitere Informationen zu dieser Eigenschaft""",OSM objects which do have this tag set on DEFAULT?,Discussion,
,,mode_of_organization:hierarchy_chef,no/yes/elected/flat hierarchy/others ,http://overpass-turbo.eu/?template=key&key=mode_of_organization:hierarchy_chef,hierarchy ,Hierarchie ,nein/ja/gewählt/flache Hierarchy,,,,
,,mode_of_organization:scale_of_activity,local/regional/national/binational/multinational/global ,http://overpass-turbo.eu/?template=key&key=mode_of_organization:scale_of_activity,"Wird auf lokaler, regionaler, nationaler, binationaler, multinationaler oder globaler Ebene agiert? ",scale of activity ,,"Do you act at a local, regional, national, binational, multinational or global level? Combinations are possible. ",,,
,,mode_of_organization:transparency,free text ,http://overpass-turbo.eu/?template=key&key=mode_of_organization:transparency,,transparency ,If you think about transparency in_the mode_of_organization/the_decision_making process/ in thesupply_chain/ in financial issues/ in terms of the technology used and in terms of information_and_knowledge_management. How would you assess transparency? 100% fullfilled or partially:yes/no/a_bit/much ,"Wie ist die Transparenz des Projektes/ Unternehmens einzuschätzen, bitte viele Aspekte berücksichtigen. Organisationsstruktur, Mittelverwaltung, Entscheidungsfindung, Zulieferung, Technologienutzung oder Wissens- und Informationsmanagement. Jeweils zu 100% erfüllt oder teilweise: ja/nein/ein bisschen/viel ",,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,TransforTax - Primary Key,OSM-Key,OSM-Value,Overpass-Link,label:en ,label:de ,description:en ,description:de ,OSM: default on objects,,
Group,,occurence,,,occurence,,BESCHREIBUNG ,,,,
